country,state,city,station,pollutant_id,pollutant_avg,KMeans,Agglo,DBSCAN,Anomaly
India,Rajasthan,Karauli,"Satyawati Vihar, Karauli - RSPCB",PM2.5,52.0,0,2,-1,1
India,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",CO,33.0,2,1,-1,1
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB",OZONE,17.0,0,3,-1,1
India,Rajasthan,Jodhpur,"Digari Kalan, Jodhpur - RSPCB",NO2,20.0,2,3,-1,1
India,TamilNadu,Coimbatore,"SIDCO Kurichi, Coimbatore - TNPCB",OZONE,6.0,0,3,-1,1
India,TamilNadu,Cuddalore,"Semmandalam, Cuddalore - TNPCB",PM2.5,25.0,2,1,-1,1
India,TamilNadu,Cuddalore,"Semmandalam, Cuddalore - TNPCB",NO2,16.0,2,1,-1,1
India,TamilNadu,Cuddalore,"Semmandalam, Cuddalore - TNPCB",NH3,1.0,2,1,-1,1
India,TamilNadu,Dindigul,"Mendonsa Colony, Dindigul - TNPCB",OZONE,49.029335912314636,0,3,-1,1
India,TamilNadu,Chennai,"Velachery Res. Area, Chennai - CPCB",CO,47.0,0,3,-1,1
India,TamilNadu,Coimbatore,"PSG College of Arts and Science, Coimbatore - TNPCB",PM2.5,44.0,0,3,-1,1
India,TamilNadu,Coimbatore,"SIDCO Kurichi, Coimbatore - TNPCB",CO,42.0,0,3,-1,1
India,TamilNadu,Chennai,"Manali, Chennai - CPCB",NH3,6.0,2,1,-1,1
India,TamilNadu,Chennai,"Perungudi, Chennai - TNPCB",PM10,56.0,0,3,-1,1
India,TamilNadu,Chennai,"Manali Village, Chennai - TNPCB",SO2,15.0,2,1,-1,1
India,TamilNadu,Chennai,"Manali, Chennai - CPCB",PM10,46.0,0,3,-1,1
India,TamilNadu,Chennai,"Perungudi, Chennai - TNPCB",NO2,8.0,2,1,-1,1
India,TamilNadu,Chennai,"Perungudi, Chennai - TNPCB",NH3,3.0,2,1,-1,1
India,TamilNadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",NO2,28.0,0,1,-1,1
India,TamilNadu,Chennai,"Royapuram, Chennai - TNPCB",OZONE,14.0,2,1,-1,1
India,TamilNadu,Chennai,"Kodungaiyur, Chennai - TNPCB",SO2,4.0,2,1,-1,1
India,TamilNadu,Chennai,"Arumbakkam, Chennai - TNPCB",SO2,49.029335912314636,0,3,21,1
India,TamilNadu,Kanchipuram,"Kilambi, Kanchipuram - TNPCB",CO,49.029335912314636,0,3,16,1
India,TamilNadu,Karur,"Kamadenu Nagar, Karur - TNPCB",PM2.5,74.0,4,2,-1,1
India,TamilNadu,Karur,"Kamadenu Nagar, Karur - TNPCB",PM10,73.0,0,3,-1,1
India,TamilNadu,Karur,"Kamadenu Nagar, Karur - TNPCB",SO2,36.0,2,1,-1,1
India,TamilNadu,Karur,"Kamadenu Nagar, Karur - TNPCB",CO,40.0,0,3,-1,1
India,TamilNadu,Madurai,"Uchapatti, Madurai - TNPCB",PM10,52.0,0,3,-1,1
India,TamilNadu,Madurai,"Uchapatti, Madurai - TNPCB",NO2,16.0,2,1,-1,1
India,TamilNadu,Madurai,"Uchapatti, Madurai - TNPCB",CO,12.0,2,1,-1,1
India,TamilNadu,Thanjavur,"Parisutham Nagar, Thanjavur - TNPCB",SO2,16.0,2,1,-1,1
India,TamilNadu,Thanjavur,"Parisutham Nagar, Thanjavur - TNPCB",CO,8.0,2,1,-1,1
India,TamilNadu,Perundurai,"SIPCOT Industrial Park, Perundurai - TNPCB",NO2,3.0,2,1,-1,1
India,TamilNadu,Perundurai,"SIPCOT Industrial Park, Perundurai - TNPCB",NH3,1.0,2,1,-1,1
India,TamilNadu,Salem,"Sona College of Technology, Salem - TNPCB",NO2,12.0,2,1,-1,1
India,TamilNadu,Salem,"Sona College of Technology, Salem - TNPCB",SO2,37.0,2,1,-1,1
India,TamilNadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",NH3,5.0,2,1,-1,1
India,TamilNadu,Pudukottai,"SIPCOT Nathampannai, Pudukottai - TNPCB",SO2,13.0,2,1,-1,1
India,TamilNadu,Ramanathapuram,"Chalai Bazaar, Ramanathapuram - TNPCB",NO2,3.0,2,1,-1,1
India,TamilNadu,Ooty,"Bombay Castel, Ooty - TNPCB",PM10,43.0,0,3,-1,1
India,TamilNadu,Tiruchirappalli,"St Joseph College, Tiruchirappalli - TNPCB",SO2,23.0,2,1,-1,1
India,TamilNadu,Tirupur,"Kumaran College, Tirupur - TNPCB",PM2.5,16.0,2,1,-1,1
India,TamilNadu,Tirupur,"Kumaran College, Tirupur - TNPCB",NO2,12.0,2,1,-1,1
India,TamilNadu,Tirupur,"Kumaran College, Tirupur - TNPCB",CO,56.0,0,3,-1,1
India,TamilNadu,Vellore,"Vasanthapuram, Vellore - TNPCB",SO2,15.0,2,1,-1,1
India,TamilNadu,Vellore,"Vasanthapuram, Vellore - TNPCB",CO,15.0,2,1,-1,1
India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",PM10,122.0,4,2,-1,1
India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",SO2,12.0,2,1,-1,1
India,Telangana,Hyderabad,"Kokapet, Hyderabad - TSPCB",PM10,49.029335912314636,0,3,17,1
India,Telangana,Hyderabad,"Kokapet, Hyderabad - TSPCB",NH3,3.0,2,1,-1,1
India,Telangana,Hyderabad,"Kompally Municipal Office, Hyderabad - TSPCB",PM10,84.0,4,2,-1,1
India,Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB",PM10,80.0,4,2,-1,1
India,Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB",SO2,11.0,2,1,-1,1
India,Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB",NO2,49.029335912314636,0,3,17,1
India,Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB",SO2,49.029335912314636,0,3,17,1
India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",OZONE,12.0,2,1,-1,1
